parid,boro,block,lot,exmp_code,year,period,benftstart,condo_number,condo_sfx,coop_num,description,phase_out_start,benefit_year,exmp_end,current_benefit_year,flag_421a16,flag_phasing
1000160185,1,16,185,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1000420022,1,42,22,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1000690006,1,69,6,5116,2026,3,2011,NA,NA,0,421A 20 YR NO CAP,13,20,2030,16,No,Yes
1000690018,1,69,18,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1000760006,1,76,6,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1000760024,1,76,24,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1000780047,1,78,47,5116,2026,3,2020,NA,NA,0,421A 20 YR NO CAP,13,20,2039,7,No,No
1000880014,1,88,14,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1000900017,1,90,17,5116,2026,3,2016,NA,NA,0,421A 20 YR NO CAP,13,20,2035,11,No,No
1000970018,1,97,18,5116,2026,3,2007,NA,NA,0,421A 20 YR NO CAP,13,20,2026,20,No,Yes
1000970032,1,97,32,5116,2026,3,2008,NA,NA,0,421A 20 YR NO CAP,13,20,2027,19,No,Yes
1001070028,1,107,28,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1001700020,1,170,20,5116,2026,3,2006,NA,NA,0,421A 20 YR NO CAP,13,20,2025,Expired,No,NA
1001730027,1,173,27,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1001790032,1,179,32,5110,2021,3,2011,NA,NA,0,421A 10 YR NO CAP,3,10,2020,Expired,No,NA
1002240001,1,224,1,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1003430062,1,343,62,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1003450017,1,345,17,5116,2026,3,2018,NA,NA,0,421A 20 YR NO CAP,13,20,2037,9,No,No
1003460175,1,346,175,5121,2023,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1003540001,1,354,1,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1003550054,1,355,54,5121,2026,3,2019,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2053,8,Yes,NA
1003720031,1,372,31,5117,2026,3,2017,NA,NA,0,421A 10 YR CAP,3,10,2026,10,No,Yes
1003720041,1,372,41,5116,2026,3,2016,NA,NA,0,421A 20 YR NO CAP,13,20,2035,11,No,No
1003740043,1,374,43,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1003770030,1,377,30,5116,2023,3,2003,NA,NA,0,421A 20 YR NO CAP,13,20,2022,Expired,No,NA
1003790021,1,379,21,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1003860003,1,386,3,5116,2021,3,2001,NA,NA,0,421A 20 YR NO CAP,13,20,2020,Expired,No,NA
1004100034,1,410,34,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1004120053,1,412,53,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1004180051,1,418,51,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1004250030,1,425,30,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1004340010,1,434,10,5113,2026,3,2013,NA,NA,0,421A 15 YR NO CAP,12,15,2027,14,No,Yes
1004560007,1,456,7,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1004570001,1,457,1,5116,2026,3,2010,NA,NA,0,421A 20 YR NO CAP,13,20,2029,17,No,Yes
1004570028,1,457,28,5116,2026,3,2009,NA,NA,0,421A 20 YR NO CAP,13,20,2028,18,No,Yes
1004700003,1,470,3,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1004710015,1,471,15,5110,2021,3,2011,NA,NA,0,421A 10 YR NO CAP,3,10,2020,Expired,No,NA
1004920002,1,492,2,5113,2023,3,2008,NA,NA,0,421A 15 YR NO CAP,12,15,2022,Expired,No,NA
1004920037,1,492,37,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1005090019,1,509,19,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1005440065,1,544,65,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1005620029,1,562,29,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1005659021,1,565,9021,5120,2026,3,2022,NA,NA,0,421A 20 YR PLUS 15 YR EXT,NA,35,2056,5,Yes,NA
1005780071,1,578,71,5121,2026,3,2021,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2055,6,Yes,NA
1005800011,1,580,11,5116,2026,3,2020,NA,NA,0,421A 20 YR NO CAP,13,20,2039,7,No,No
1005970050,1,597,50,5121,2026,3,2023,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2057,4,Yes,NA
1006050001,1,605,1,5116,2026,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1006750012,1,675,12,5123,2026,3,2024,NA,NA,0,421A 35 YR,NA,35,2058,3,Yes,NA
1006940039,1,694,39,5110,2022,3,2012,NA,NA,0,421A 10 YR NO CAP,3,10,2021,Expired,No,NA
1006950015,1,695,15,5116,2024,3,2004,NA,NA,0,421A 20 YR NO CAP,13,20,2023,Expired,No,NA
1006990009,1,699,9,5110,2023,3,2013,NA,NA,0,421A 10 YR NO CAP,3,10,2022,Expired,No,NA
1006990033,1,699,33,5116,2026,3,2013,NA,NA,0,421A 20 YR NO CAP,13,20,2032,14,No,Yes
1007000009,1,700,9,5116,2026,3,2017,NA,NA,0,421A 20 YR NO CAP,13,20,2036,10,No,No
1007000027,1,700,27,5116,2026,3,2020,NA,NA,0,421A 20 YR NO CAP,13,20,2039,7,No,No
1007010016,1,701,16,5116,2026,3,2019,NA,NA,0,421A 20 YR NO CAP,13,20,2038,8,No,No
1007010062,1,701,62,5116,2026,3,2012,NA,NA,0,421A 20 YR NO CAP,13,20,2031,15,No,Yes
1007080020,1,708,20,5121,2026,3,2020,NA,NA,0,421A 35YR WITH AFF HOUSING PCT,NA,35,2054,7,Yes,NA
1007090031,1,709,31,5116,2026,3,2012,NA,NA,0,421A 20 YR NO CAP,13,20,2031,15,No,Yes
1007100001,1,710,1,5123,2026,3,2023,NA,NA,0,421A 35 YR,NA,35,2057,4,Yes,NA
1007330008,1,733,8,5117,2026,3,2020,NA,NA,0,421A 10 YR CAP,3,10,2029,7,No,Yes
